Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Noel Acciari,29,FLA,C,3,0,0,0,2,0,-0.1,0,0,0,0,0,0,0,1,0.0,47,7,6,22,27,44.9,acciano01,2020-2021,2021
Sebastian Aho,23,CAR,F,3,1,2,3,2,0,0.4,1,0,0,1,1,1,0,7,14.3,58,1,1,23,25,47.9,ahose01,2020-2021,2021
Mark Alt,29,LAK,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,1,0,0,0,,altma01,2020-2021,2021
Michael Amadio,24,LAK,C,6,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,74,5,1,23,23,50.0,amadimi01,2020-2021,2021
Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,3,0,0,1,0.0,anderjo08,2020-2021,2021
Josh Anderson,26,MTL,RW,6,3,1,4,2,8,0.6,3,0,0,1,1,0,0,21,14.3,89,4,13,0,1,0.0,anderjo05,2020-2021,2021
Michael Anderson,21,LAK,D,7,0,1,1,1,4,0.3,0,0,0,0,1,0,0,2,0.0,147,8,8,0,0,,andermi02,2020-2021,2021
Lias Andersson,22,LAK,C,5,1,0,1,1,6,0.2,1,0,0,0,0,0,0,4,25.0,56,1,1,2,9,18.2,anderli01,2020-2021,2021
Rasmus Andersson,24,CGY,D,5,1,3,4,0,0,0.7,1,0,0,0,1,2,0,10,10.0,107,7,3,0,0,,anderra01,2020-2021,2021
Artem Anisimov,32,OTT,C,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,7,0.0,50,4,3,6,13,31.6,anisiar01,2020-2021,2021
Mason Appleton,25,WPG,C,7,0,3,3,2,2,0.2,0,0,0,0,3,0,0,11,0.0,87,1,8,3,3,50.0,applema01,2020-2021,2021
Josh Archibald,28,EDM,RW,8,1,0,1,-4,0,-0.1,1,0,0,0,0,0,0,6,16.7,99,8,32,0,1,0.0,archijo01,2020-2021,2021
Joel Armia,27,MTL,RW,5,2,3,5,6,2,0.8,1,0,1,0,2,0,1,7,28.6,63,1,7,0,4,0.0,armiajo01,2020-2021,2021
Viktor Arvidsson,27,NSH,LW,6,1,4,5,1,2,0.4,0,1,0,0,3,1,0,23,4.3,112,6,0,1,5,16.7,arvidvi01,2020-2021,2021
Rasmus Asplund,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,7,0,0,0,0,,asplura01,2020-2021,2021
Andreas Athanasiou,26,LAK,C,7,3,2,5,0,0,0.7,3,0,0,0,1,1,0,7,42.9,94,3,1,2,0,100.0,athanan01,2020-2021,2021
Cam Atkinson,31,CBJ,RW,7,1,2,3,-4,0,0.0,0,0,1,0,1,1,0,16,6.3,118,5,0,0,3,0.0,atkinca01,2020-2021,2021
Nicolas Aube-Kubel,24,PHI,RW,7,1,1,2,-2,10,0.0,1,0,0,0,1,0,0,4,25.0,80,3,18,0,0,,aubekni01,2020-2021,2021
Mikael Backlund,31,CGY,C,5,1,2,3,-3,4,0.2,1,0,0,0,1,1,0,8,12.5,80,3,5,26,24,52.0,backlmi01,2020-2021,2021
Nicklas Backstrom,33,WSH,C,7,4,4,8,-1,2,0.9,2,2,0,0,2,2,0,20,20.0,137,7,2,43,62,41.0,backsni02,2020-2021,2021
Josh Bailey,31,NYI,C,6,0,1,1,0,2,0.0,0,0,0,0,1,0,0,10,0.0,108,1,0,3,2,60.0,bailejo01,2020-2021,2021
Alexander Barabanov,26,TOR,F,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,23,4,2,0,0,,barabal01,2020-2021,2021
Ivan Barbashev,25,STL,C,7,0,2,2,1,2,0.0,0,0,0,0,2,0,0,6,0.0,82,1,11,11,13,45.8,barbaiv01,2020-2021,2021
Aleksander Barkov,25,FLA,C,3,1,3,4,2,2,0.4,1,0,0,0,2,1,0,16,6.3,65,1,2,37,22,62.7,barkoal01,2020-2021,2021
Tyson Barrie,29,EDM,D,8,0,2,2,-5,0,0.0,0,0,0,0,1,1,0,15,0.0,166,13,4,0,0,,barrity01,2020-2021,2021
Mathew Barzal,23,NYI,C,6,3,3,6,3,8,1.0,3,0,0,0,2,1,0,16,18.8,117,2,1,20,14,58.8,barzama01,2020-2021,2021
Nathan Bastian,23,NJD,RW,6,1,1,2,2,2,0.2,1,0,0,0,1,0,0,7,14.3,74,0,14,3,5,37.5,bastina01,2020-2021,2021
Drake Batherson,22,OTT,C,6,0,3,3,-4,0,-0.1,0,0,0,0,1,2,0,18,0.0,102,3,14,0,1,0.0,bathedr01,2020-2021,2021
Jay Beagle,35,VAN,RW,8,0,1,1,0,4,-0.1,0,0,0,0,1,0,0,5,0.0,111,3,13,56,51,52.3,beaglja01,2020-2021,2021
Ethan Bear,23,EDM,D,7,0,2,2,4,0,0.6,0,0,0,0,2,0,0,6,0.0,147,8,7,0,0,,bearet01,2020-2021,2021
Nathan Beaulieu,28,WPG,D,7,0,1,1,4,12,0.4,0,0,0,0,1,0,0,7,0.0,119,10,12,0,0,,beaulna01,2020-2021,2021
Anthony Beauvillier,23,NYI,LW,5,0,1,1,-2,0,0.0,0,0,0,0,0,1,0,4,0.0,73,1,4,0,1,0.0,beauvan01,2020-2021,2021
Pierre-Edouard Bellemare,35,COL,LW,7,0,0,0,1,4,-0.1,0,0,0,0,0,0,0,5,0.0,85,1,3,44,24,64.7,bellepi01,2020-2021,2021
Kieffer Bellows,22,NYI,LW,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,46,2,12,1,0,100.0,belloki01,2020-2021,2021
Emil Bemstrom,21,CBJ,C,5,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,59,3,4,0,0,,bemstem01,2020-2021,2021
Jamie Benn,31,DAL,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,12,1,0,0,3,0.0,bennja01,2020-2021,2021
Jordie Benn,33,VAN,D,2,0,1,1,3,0,0.3,0,0,0,0,1,0,0,3,0.0,33,6,3,0,0,,bennjo01,2020-2021,2021
Sam Bennett,24,CGY,C,5,0,0,0,-5,4,-0.3,0,0,0,0,0,0,0,5,0.0,67,1,7,6,7,46.2,bennesa01,2020-2021,2021
Matt Benning,26,NSH,D,5,0,0,0,1,4,0.1,0,0,0,0,0,0,0,2,0.0,71,5,3,0,0,,bennima01,2020-2021,2021
Patrice Bergeron,35,BOS,C,6,3,3,6,1,2,0.8,0,2,1,0,1,2,0,29,10.3,110,4,4,87,51,63.0,bergepa01,2020-2021,2021
Tyler Bertuzzi,25,DET,LW,7,3,2,5,0,4,0.6,1,2,0,1,1,1,0,17,17.6,142,3,12,1,0,100.0,bertuty01,2020-2021,2021
Alex Biega,32,DET,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,1,3,0,0,,biegaal01,2020-2021,2021
Anders Bjork,24,BOS,LW,6,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,73,0,7,0,0,,bjorkan01,2020-2021,2021
Oliver Bjorkstrand,25,CBJ,RW,7,2,4,6,-1,19,0.5,2,0,0,0,3,1,0,18,11.1,128,2,7,1,0,100.0,bjorkol01,2020-2021,2021
Nick Bjugstad,28,MIN,C,7,1,1,2,1,6,0.2,1,0,0,0,1,0,0,13,7.7,84,4,7,24,35,40.7,bjugsni01,2020-2021,2021
Colin Blackwell,27,NYR,C,2,1,1,2,2,0,0.4,1,0,0,0,1,0,0,3,33.3,22,0,2,0,1,0.0,blackco01,2020-2021,2021
Sammy Blais,24,STL,LW,2,0,0,0,1,2,0.0,0,0,0,0,0,0,0,2,0.0,18,1,1,0,0,,blaissa01,2020-2021,2021
Teddy Blueger,26,PIT,C,7,2,2,4,0,0,0.5,1,0,1,0,2,0,0,6,33.3,87,3,9,24,25,49.0,bluegte01,2020-2021,2021
Brock Boeser,23,VAN,RW,8,4,2,6,-5,6,0.6,3,1,0,1,1,1,0,17,23.5,151,1,7,1,1,50.0,boesebr01,2020-2021,2021
Zach Bogosian,30,TOR,D,8,0,0,0,-2,4,0.0,0,0,0,0,0,0,0,5,0.0,110,7,12,0,0,,bogosza01,2020-2021,2021
Nick Bonino,32,MIN,C,7,1,0,1,-4,2,-0.1,0,1,0,0,0,0,0,15,6.7,126,9,3,84,63,57.1,boninni01,2020-2021,2021
Adam Boqvist,20,CHI,D,6,0,3,3,-1,4,0.4,0,0,0,0,1,2,0,5,0.0,96,4,4,0,0,,boqviad01,2020-2021,2021
Jesper Boqvist,22,NJD,C,4,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,2,0.0,56,2,2,3,4,42.9,boqvije01,2020-2021,2021
Mark Borowiecki,31,NSH,D,6,0,1,1,2,8,0.3,0,0,0,0,1,0,0,2,0.0,81,9,12,0,0,,borowma01,2020-2021,2021
Robert Bortuzzo,31,STL,D,2,0,0,0,1,4,0.1,0,0,0,0,0,0,0,1,0.0,16,2,1,0,0,,borturo01,2020-2021,2021
Travis Boyd,27,TOR,C,1,1,0,1,1,0,0.2,1,0,0,0,0,0,0,1,100.0,10,0,0,1,5,16.7,boydtr01,2020-2021,2021
Tyler Bozak,34,STL,C,7,0,2,2,-1,2,-0.1,0,0,0,0,2,0,0,2,0.0,93,5,2,37,30,55.2,bozakty01,2020-2021,2021
Derick Brassard,33,ARI,C,7,1,3,4,1,0,0.4,1,0,0,0,2,1,0,5,20.0,112,0,10,24,34,41.4,brassde01,2020-2021,2021
Justin Braun,33,PHI,D,7,0,0,0,1,0,0.1,0,0,0,0,0,0,0,7,0.0,131,6,10,0,0,,braunju01,2020-2021,2021
T.J. Brodie,30,TOR,D,8,0,3,3,-2,0,0.4,0,0,0,0,2,1,0,10,0.0,175,9,5,0,0,,broditj01,2020-2021,2021
Jonas Brodin,27,MIN,D,7,1,1,2,0,2,0.6,1,0,0,0,1,0,0,10,10.0,160,10,4,0,0,,brodijo01,2020-2021,2021
Mathias Brome,26,DET,F,7,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,4,0.0,96,1,8,0,2,0.0,bromema01,2020-2021,2021
Adam Brooks,24,TOR,C,1,1,0,1,-1,0,0.2,0,1,0,0,0,0,0,1,100.0,9,0,1,1,1,50.0,brookad01,2020-2021,2021
Connor Brown,27,OTT,RW,6,0,3,3,0,2,0.1,0,0,0,0,3,0,0,12,0.0,116,4,2,0,4,0.0,brownco02,2020-2021,2021
Dustin Brown,36,LAK,RW,7,2,2,4,0,6,0.4,0,2,0,0,1,1,0,14,14.3,114,1,10,0,0,,browndu01,2020-2021,2021
Josh Brown,27,OTT,D,6,0,0,0,-4,6,-0.2,0,0,0,0,0,0,0,1,0.0,94,17,17,0,0,,brownjo01,2020-2021,2021
Pavel Buchnevich,25,NYR,LW,6,2,3,5,0,0,0.5,2,0,0,1,2,1,0,13,15.4,117,2,4,1,5,16.7,buchnpa01,2020-2021,2021
Connor Bunnaman,22,PHI,F,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,34,1,3,6,8,42.9,bunnaco01,2020-2021,2021
Andre Burakovsky,25,COL,LW,4,2,3,5,0,0,0.7,0,2,0,0,2,1,0,6,33.3,54,2,2,0,0,,burakan01,2020-2021,2021
Brent Burns,35,SJS,D,7,2,2,4,-2,8,0.7,1,1,0,1,1,1,0,23,8.7,192,9,8,0,0,,burnsbr01,2020-2021,2021
Bowen Byram,19,COL,D,4,0,1,1,0,4,0.2,0,0,0,0,1,0,0,9,0.0,66,2,0,0,0,,byrambo01,2020-2021,2021
Paul Byron,31,MTL,LW,6,0,2,2,2,0,0.1,0,0,0,0,2,0,0,5,0.0,71,1,6,0,3,0.0,byronpa01,2020-2021,2021
Nicholas Caamano,22,DAL,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,29,1,6,0,0,,caamani01,2020-2021,2021
Drake Caggiula,26,ARI,LW,7,0,3,3,0,4,0.2,0,0,0,0,3,0,0,12,0.0,93,2,16,1,4,20.0,caggidr01,2020-2021,2021
Matt Calvert,31,COL,LW,6,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,7,0.0,89,3,7,0,1,0.0,calvema01,2020-2021,2021
Kyle Capobianco,23,ARI,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,29,2,1,0,0,,capobky01,2020-2021,2021
Brandon Carlo,24,BOS,D,6,1,0,1,0,2,0.5,1,0,0,0,0,0,0,6,16.7,117,6,5,0,0,,carlobr01,2020-2021,2021
John Carlson,31,WSH,D,7,2,5,7,-3,2,0.7,1,1,0,0,3,2,0,22,9.1,176,8,11,0,0,,carlsjo01,2020-2021,2021
Lucas Carlsson,23,CHI,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,16,0,0,0,0,,carlslu01,2020-2021,2021
Ryan Carpenter,30,CHI,C,7,0,0,0,-1,6,-0.2,0,0,0,0,0,0,0,13,0.0,90,4,15,4,8,33.3,carpery01,2020-2021,2021
Daniel Carr,29,WSH,LW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,11,2,0,0,0,,carrda01,2020-2021,2021
William Carrier,26,VEG,LW,7,0,0,0,-1,4,-0.2,0,0,0,0,0,0,0,8,0.0,71,2,19,0,0,,carriwi01,2020-2021,2021
Jeff Carter,36,LAK,C,7,1,5,6,1,4,0.6,1,0,0,0,4,1,0,23,4.3,119,4,3,7,12,36.8,carteje01,2020-2021,2021
Cody Ceci,27,PIT,D,4,0,1,1,-2,4,0.0,0,0,0,0,1,0,0,2,0.0,75,5,7,0,0,,cecico01,2020-2021,2021
Erik Cernak,23,TBL,D,4,0,1,1,4,0,0.4,0,0,0,0,1,0,0,8,0.0,66,4,5,0,0,,cernaer01,2020-2021,2021
Thomas Chabot,24,OTT,D,6,1,2,3,-2,10,0.4,0,1,0,0,2,0,0,11,9.1,143,7,6,0,0,,chaboth01,2020-2021,2021
Zdeno Chara,43,WSH,D,7,0,1,1,5,4,0.5,0,0,0,0,1,0,0,13,0.0,141,7,12,0,0,,charazd01,2020-2021,2021
Jalen Chatfield,24,VAN,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,20,1,3,0,0,,chatfja01,2020-2021,2021
Ben Chiarot,29,MTL,D,6,1,1,2,0,11,0.1,0,1,0,0,1,0,0,10,10.0,136,11,14,0,0,,chiarbe01,2020-2021,2021
Alex Chiasson,30,EDM,RW,5,0,0,0,-5,0,-0.3,0,0,0,0,0,0,0,5,0.0,64,0,4,0,2,0.0,chiasal01,2020-2021,2021
Jakob Chychrun,22,ARI,D,7,1,4,5,0,4,0.9,1,0,0,1,2,2,0,18,5.6,155,9,11,0,0,,chychja01,2020-2021,2021
Filip Chytil,21,NYR,C,5,2,1,3,3,0,0.5,2,0,0,0,1,0,0,12,16.7,65,1,3,16,27,37.2,chytifi01,2020-2021,2021
Anthony Cirelli,23,TBL,C,4,1,3,4,3,0,0.4,1,0,0,0,3,0,0,9,11.1,73,3,6,17,17,50.0,cirelan01,2020-2021,2021
Casey Cizikas,29,NYI,C,6,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,6,0.0,84,2,7,41,24,63.1,cizikca01,2020-2021,2021
Kale Clague,22,LAK,D,5,0,1,1,1,4,0.3,0,0,0,0,1,0,0,7,0.0,82,5,3,0,0,,claguka01,2020-2021,2021
Kyle Clifford,30,STL,LW,6,1,0,1,0,2,0.1,1,0,0,0,0,0,0,3,33.3,45,2,8,0,0,,cliffky01,2020-2021,2021
Connor Clifton,25,BOS,D,2,0,0,0,1,2,0.2,0,0,0,0,0,0,0,3,0.0,34,2,7,0,0,,cliftco01,2020-2021,2021
Cal Clutterbuck,33,NYI,RW,6,0,1,1,0,0,0.0,0,0,0,0,1,0,0,9,0.0,84,1,24,0,0,,cluttca01,2020-2021,2021
Braydon Coburn,35,OTT,D,4,0,1,1,-1,2,0.1,0,0,0,0,1,0,0,2,0.0,69,4,8,0,0,,coburbr01,2020-2021,2021
Andrew Cogliano,33,DAL,LW,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,42,1,6,0,1,0.0,coglian01,2020-2021,2021
Ian Cole,31,MIN,D,4,0,0,0,4,2,0.4,0,0,0,0,0,0,0,2,0.0,68,5,6,0,0,,coleia01,2020-2021,2021
Ian Cole,31,COL,D,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,29,2,4,0,0,,coleia01,2020-2021,2021
Blake Coleman,29,TBL,C,3,2,1,3,2,2,0.5,2,0,0,1,1,0,0,8,25.0,44,1,4,0,0,,colembl01,2020-2021,2021
J.T. Compher,25,COL,LW,7,0,1,1,-1,6,-0.1,0,0,0,0,0,1,0,4,0.0,104,9,10,33,51,39.3,comphj,2020-2021,2021
Max Comtois,22,ANA,LW,7,3,0,3,1,2,0.6,3,0,0,0,0,0,0,11,27.3,90,4,12,2,1,66.7,comtoma01,2020-2021,2021
Brett Connolly,28,FLA,RW,3,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,2,0.0,33,1,2,0,0,,connobr01,2020-2021,2021
Kyle Connor,24,WPG,LW,7,4,5,9,1,2,0.9,2,2,0,0,5,0,0,17,23.5,141,3,7,0,0,,connoky01,2020-2021,2021
Andrew Copp,26,WPG,C,7,4,5,9,3,2,1.1,3,1,0,0,5,0,0,25,16.0,128,3,7,4,8,33.3,coppan01,2020-2021,2021
Nick Cousins,27,NSH,C,6,0,2,2,1,6,0.1,0,0,0,0,2,0,0,5,0.0,86,0,2,1,1,50.0,cousini01,2020-2021,2021
Logan Couture,31,SJS,C,7,3,3,6,2,2,0.8,2,1,0,0,2,1,0,22,13.6,137,4,3,60,48,55.6,coutulo01,2020-2021,2021
Sean Couturier,28,PHI,C,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,20,1,0,6,6,50.0,coutuse01,2020-2021,2021
Charlie Coyle,28,BOS,C,6,2,1,3,-2,2,0.3,2,0,0,0,1,0,0,9,22.2,108,2,5,25,30,45.5,coylech01,2020-2021,2021
Dylan Cozens,19,BUF,C,6,2,1,3,2,0,0.5,1,1,0,0,1,0,0,7,28.6,75,2,3,5,4,55.6,cozendy01,2020-2021,2021
Sidney Crosby,33,PIT,C,7,3,4,7,-2,4,0.8,1,2,0,1,2,2,0,19,15.8,141,5,3,90,70,56.3,crosbsi01,2020-2021,2021
Lawson Crouse,23,ARI,LW,7,0,1,1,-3,2,-0.2,0,0,0,0,0,1,0,5,0.0,99,6,29,3,4,42.9,crousla01,2020-2021,2021
Evgenii Dadonov,31,OTT,RW,6,1,1,2,-2,0,0.0,1,0,0,0,0,1,0,12,8.3,99,2,8,0,1,0.0,dadonev01,2020-2021,2021
Rasmus Dahlin,20,BUF,D,7,0,1,1,-7,2,-0.2,0,0,0,0,0,1,0,23,0.0,135,4,6,0,0,,dahlira01,2020-2021,2021
Michael Dal Colle,24,NYI,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,11,0,0,0,0,,dalcomi01,2020-2021,2021
Phillip Danault,27,MTL,C,6,0,3,3,3,4,0.2,0,0,0,0,3,0,0,2,0.0,98,2,12,50,46,52.1,danauph01,2020-2021,2021
Calvin de Haan,29,CHI,D,7,1,1,2,-4,2,0.2,1,0,0,1,1,0,0,8,12.5,147,13,20,0,0,,dehaaca01,2020-2021,2021
Anthony DeAngelo,25,NYR,D,4,0,0,0,-5,4,-0.3,0,0,0,0,0,0,0,8,0.0,69,6,2,0,0,,deangan01,2020-2021,2021
Alex DeBrincat,23,CHI,RW,6,2,4,6,-1,2,0.6,0,2,0,0,2,2,0,17,11.8,110,3,4,1,2,33.3,debrial01,2020-2021,2021
Jake Debrusk,24,BOS,LW,6,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,9,0.0,84,2,3,2,1,66.7,debruja01,2020-2021,2021
Danny DeKeyser,30,DET,D,7,0,0,0,-2,6,0.1,0,0,0,0,0,0,0,5,0.0,108,7,5,0,0,,dekeyda01,2020-2021,2021
Michael Del Zotto,30,CBJ,D,7,0,4,4,6,0,1.0,0,0,0,0,4,0,0,12,0.0,99,7,7,0,0,,delzomi01,2020-2021,2021
Ty Dellandrea,20,DAL,C,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,2,0.0,51,3,5,15,13,53.6,dellaty01,2020-2021,2021
Dylan DeMelo,27,WPG,D,3,0,1,1,1,2,0.2,0,0,0,0,1,0,0,5,0.0,59,6,7,0,0,,demeldy01,2020-2021,2021
Jason Demers,32,ARI,D,7,0,0,0,-1,10,0.1,0,0,0,0,0,0,0,4,0.0,124,5,8,0,0,,demerja01,2020-2021,2021
Travis Dermott,24,TOR,D,7,0,0,0,1,4,0.2,0,0,0,0,0,0,0,7,0.0,80,6,1,0,0,,dermotr01,2020-2021,2021
Nicolas Deslauriers,29,ANA,LW,7,2,1,3,2,0,0.5,2,0,0,1,1,0,0,12,16.7,80,3,13,0,0,,deslani01,2020-2021,2021
Phillip Di Giuseppe,27,NYR,LW,5,0,4,4,3,2,0.4,0,0,0,0,4,0,0,13,0.0,60,5,15,0,0,,digiuph01,2020-2021,2021
Jason Dickinson,25,DAL,C,3,1,1,2,0,0,0.3,1,0,0,1,0,1,0,2,50.0,50,3,4,5,7,41.7,dickija01,2020-2021,2021
Brenden Dillon,30,WSH,D,7,1,2,3,5,9,0.8,1,0,0,0,2,0,0,3,33.3,134,10,16,0,0,,dillobr01,2020-2021,2021
