Year,Name,Category,From,To,GP,G,A,PTS,+/-,PIM,W,L,T/O,SV%,GAA,OPS,DPS,GPS,PS,pid
1979,Gordon Juckes,Builder,,,,,,,,,,,,,,,,,,
1979,Bobby Orr,Player,1967,1979,657,270,645,915,582,953,,,,,,90.1,60.9,0.0,150.9,orrbo01
1979,Henri Richard,Player,1956,1975,1258,358,688,1046,243,932,,,,,,75.5,23.3,0.0,98.7,richahe01
1978,Andy Bathgate,Player,1953,1971,1069,349,624,973,-60,624,,,,,,79.0,12.9,0.0,91.8,bathgan01
1978,John Bickell,Builder,,,,,,,,,,,,,,,,,,
1978,Jacques Plante,Player,1953,1973,837,0,8,8,0,92,437,246,145,.920,2.38,0.0,0.0,173.7,173.7,plantja01
1978,Sam Pollock,Builder,,,,,,,,,,,,,,,,,,
1978,Marcel Pronovost,Player,1951,1970,1206,88,257,345,39,847,,,,,,21.4,80.1,0.0,101.5,pronoma01
1978,William Tutt,Builder,,,,,,,,,,,,,,,,,,
1977,Bunny Ahearne,Builder,,,,,,,,,,,,,,,,,,
1977,Harold Ballard,Builder,,,,,,,,,,,,,,,,,,
1977,Joseph Cattarinich,Builder,,,,,,,,,,,,,,,,,,
1977,Alex Delvecchio,Player,1951,1974,1550,456,825,1281,24,383,,,,,,98.7,24.8,0.0,123.5,delveal01
1977,Tim Horton,Player,1950,1974,1445,115,403,518,191,1611,,,,,,33.7,97.9,0.0,131.7,hortoti01
1976,Johnny Bower,Player,1954,1970,552,0,3,3,0,36,250,192,90,.922,2.51,0.0,0.0,104.3,104.3,bowerjo01
1976,Jack Gibson,Builder,,,,,,,,,,,,,,,,,,
1976,Bill Quackenbush,Player,1943,1956,775,62,223,285,,95,,,,,,19.8,48.9,0.0,68.7,quackbi01
1976,Philip Ross,Builder,,,,,,,,,,,,,,,,,,
1976,William Wirtz,Builder,,,,,,,,,,,,,,,,,,
1975,George Armstrong,Player,1950,1971,1188,296,417,713,101,726,,,,,,46.1,19.8,0.0,66.0,armstge01
1975,Ace Bailey,Player,1927,1934,316,111,81,192,,488,,,,,,29.7,6.5,0.0,36.2,baileac01
1975,Frank Buckland,Builder,,,,,,,,,,,,,,,,,,
1975,Gordie Drillon,Player,1937,1943,312,155,140,295,,56,,,,,,31.5,5.9,0.0,37.4,drillgo01
1975,Glenn Hall,Player,1953,1971,906,0,9,9,0,98,407,326,164,.918,2.50,0.0,0.0,177.6,177.6,hallgl01
1975,William Jennings,Builder,,,,,,,,,,,,,,,,,,
1975,Pierre Pilote,Player,1956,1969,890,80,418,498,187,1257,,,,,,37.8,55.3,0.0,93.1,pilotpi01
1974,Billy Burch,Player,1923,1933,390,136,60,196,,263,,,,,,32.7,7.5,0.0,40.2,burchbi01
1974,Art Coulter,Player,1932,1942,458,31,82,113,,546,,,,,,6.3,39.9,0.0,46.1,coultar01
1974,Tommy Dunderdale,Player,,,,,,,,,,,,,,,,,,dundeto01
1974,Charles Hay,Builder,,,,,,,,,,,,,,,,,,
1974,Tommy Ivan,Builder,,,,,,,,,,,,,,,,,,
1974,Dickie Moore,Player,1952,1968,719,261,346,607,63,646,,,,,,51.9,13.4,0.0,65.2,mooredi01
1974,Anatoli Tarasov,Builder,,,,,,,,,,,,,,,,,,
1974,Carl Voss,Builder,1927,1938,264,34,71,105,,50,,,,,,3.7,3.8,0.0,7.5,
1973,Doug Harvey,Player,1948,1969,1113,88,452,540,46,1225,,,,,,42.9,80.3,0.0,123.2,harvedo01
1973,Hartland Molson,Builder,,,,,,,,,,,,,,,,,,
1973,Chuck Rayner,Player,1941,1953,425,0,0,0,,26,138,207,78,,3.03,0.0,0.0,61.6,61.6,raynech01
1973,Tommy Smith,Player,1920,1920,10,0,1,1,,11,,,,,,-0.7,0.0,0.0,-0.7,smithto01
1973,Frank Udvari,Referee/Linesman,,,,,,,,,,,,,,,,,,
1972,Weston Adams,Builder,,,,,,,,,,,,,,,,,,
1972,Jean Beliveau,Player,1951,1971,1125,507,712,1219,117,1033,,,,,,116.8,21.3,0.0,138.1,belivje01
1972,Bernie Geoffrion,Player,1951,1968,883,393,429,822,39,683,,,,,,81.3,16.2,0.0,97.5,geoffbe01
1972,Hap Holmes,Player,1918,1928,103,0,0,0,,0,39,54,10,,2.47,0.0,0.0,15.7,15.7,holmeha01
1972,Gordie Howe,Player,1947,1980,1767,801,1049,1850,160,1685,,,,,,186.6,30.5,0.0,217.1,howego01
1972,Hooley Smith,Player,1925,1941,717,200,226,426,,1056,,,,,,51.5,13.7,0.0,65.2,smithho01
1971,Busher Jackson,Player,1930,1944,634,241,234,475,,450,,,,,,50.6,10.8,0.0,61.4,jacksbu01
1971,Gord Roberts,Player,,,,,,,,,,,,,,,,,,robergo01
1971,Terry Sawchuk,Player,1950,1970,971,0,7,7,0,225,445,336,171,.907,2.50,0.0,0.0,179.0,179.0,sawchte01
1971,Cooney Weiland,Player,1929,1939,509,173,162,335,,149,,,,,,43.2,11.3,0.0,54.6,weilaco01
1971,Arthur Wirtz,Builder,,,,,,,,,,,,,,,,,,
1970,Babe Dye,Player,1920,1931,272,203,50,253,,220,,,,,,41.2,5.4,0.0,46.6,dyeba01
1970,Bill Gadsby,Player,1947,1966,1248,130,438,568,-62,1539,,,,,,47.0,53.3,0.0,100.3,gadsbbi01
1970,Tom Johnson,Player,1948,1965,978,51,213,264,56,960,,,,,,12.7,68.9,0.0,81.6,johnsto01
1970,Bob LeBel,Builder,,,,,,,,,,,,,,,,,,
1969,Sid Abel,Player,1939,1954,612,188,284,472,,376,,,,,,37.8,11.6,0.0,49.4,abelsi01
1969,Bryan Hextall,Player,1937,1948,449,187,180,367,,227,,,,,,29.4,7.0,0.0,36.5,hextabr01
1969,Red Kelly,Player,1948,1967,1316,281,542,823,50,327,,,,,,76.1,70.2,0.0,146.3,kellyre01
1969,Al Leader,Builder,,,,,,,,,,,,,,,,,,
1969,Bruce Norris,Builder,,,,,,,,,,,,,,,,,,
1969,Roy Worters,Player,1926,1937,484,0,0,0,,0,171,230,82,,2.28,0.0,0.0,75.7,75.7,wortero01
1968,Bill Cowley,Player,1935,1947,549,195,354,549,,143,,,,,,46.7,10.5,0.0,57.2,cowlebi01
1968,Jimmy Dunn,Builder,,,,,,,,,,,,,,,,,,
1968,Jim Hendy,Builder,,,,,,,,,,,,,,,,,,
1967,Turk Broda,Player,1937,1952,629,0,0,0,,8,304,222,102,,2.53,0.0,0.0,120.4,120.4,brodatu01
1967,Neil Colville,Player,1936,1949,465,100,166,266,,213,,,,,,21.3,15.5,0.0,36.8,colvine01
1967,Harry Oliver,Player,1927,1937,465,127,85,212,,147,,,,,,29.7,9.4,0.0,39.1,oliveha01
1967,Red Storey,Referee/Linesman,,,,,,,,,,,,,,,,,,
1966,Max Bentley,Player,1941,1954,646,245,299,544,,177,,,,,,46.6,10.0,0.0,56.6,bentlma01
1966,Toe Blake,Player,1935,1948,577,235,294,529,,282,,,,,,42.2,10.4,0.0,52.6,blaketo01
1966,Butch Bouchard,Player,1942,1956,786,49,144,193,,865,,,,,,6.6,62.8,0.0,69.4,bouchbu01
1966,Frank Brimsek,Player,1939,1950,514,0,0,0,,6,252,182,80,,2.70,0.0,0.0,95.4,95.4,brimsfr01
1966,Clarence Campbell,Builder,,,,,,,,,,,,,,,,,,
1966,Ted Kennedy,Player,1943,1957,696,230,330,560,,432,,,,,,46.2,13.2,0.0,59.4,kennete01
1966,Elmer Lach,Player,1941,1954,664,215,408,623,,478,,,,,,47.7,13.3,0.0,61.0,lachel01
1966,Ted Lindsay,Player,1945,1965,1068,379,472,851,9,1808,,,,,,80.6,19.6,0.0,100.2,lindste01
1966,Babe Pratt,Player,1936,1947,518,83,210,293,,491,,,,,,23.1,41.6,0.0,64.7,prattba01
1966,Ken Reardon,Player,1941,1950,353,26,96,122,,604,,,,,,7.8,26.0,0.0,33.8,reardke01
1965,Marty Barry,Player,1928,1940,507,194,193,387,,231,,,,,,48.2,9.5,0.0,57.7,barryma01
1965,Clint Benedict,Player,1918,1930,362,0,0,0,,9,189,142,28,,2.32,0.0,0.0,77.8,77.8,benedcl01
1965,Art Farrell,Player,,,,,,,,,,,,,,,,,,farrear01
1965,Foster Hewitt,Builder,,,,,,,,,,,,,,,,,,
1965,Red Horner,Player,1929,1940,490,42,110,152,,1288,0,0,0,,60.00,13.7,37.6,-0.1,51.2,hornere01
1965,Syd Howe,Player,1930,1946,700,237,292,529,,214,,,,,,44.2,11.5,0.0,55.7,howesy01
1965,Tommy Lockhart,Builder,,,,,,,,,,,,,,,,,,
1965,Jack Marshall,Player,,,,,,,,,,,,,,,,,,marshja01
1965,Bill Mosienko,Player,1942,1955,711,258,282,540,,133,,,,,,43.3,6.4,0.0,49.8,mosiebi01
1965,Blair Russell,Player,,,,,,,,,,,,,,,,,,russebl01
1965,Ernie Russell,Player,,,,,,,,,,,,,,,,,,russeer01
1965,Fred Scanlon,Player,,,,,,,,,,,,,,,,,,scanlfr01
1964,Doug Bentley,Player,1940,1954,565,219,324,543,,217,,,,,,42.5,6.4,0.0,48.9,bentldo01
1964,Angus Campbell,Builder,,,,,,,,,,,,,,,,,,
1964,Bill Chadwick,Referee/Linesman,,,,,,,,,,,,,,,,,,
1964,Francis Dilio,Builder,,,,,,,,,,,,,,,,,,
1964,Bill Durnan,Player,1944,1950,383,0,1,1,,9,208,112,62,,2.36,0.0,0.0,90.7,90.7,durnabi01
1964,Babe Siebert,Player,1926,1939,594,140,154,294,,1002,,,,,,31.9,15.1,0.0,47.0,siebeba01
1964,Jack Stewart,Player,1939,1952,565,31,83,114,,765,,,,,,2.8,38.2,0.0,41.0,stewaja01
1963,Leo Dandurand,Builder,,,,,,,,,,,,,,,,,,
1963,Ebbie Goodfellow,Player,1930,1943,557,135,191,326,,511,,,,,,34.1,20.8,0.0,54.9,goodfeb01
1963,Tommy Gorman,Builder,,,,,,,,,,,,,,,,,,
1963,Bobby Hewitson,Referee/Linesman,,,,,,,,,,,,,,,,,,
1963,Frederic McLaughlin,Builder,,,,,,,,,,,,,,,,,,
1963,Joe Primeau,Player,1928,1936,310,66,177,243,,105,,,,,,23.1,6.1,0.0,29.2,primejo01
1963,Earl Seibert,Player,1932,1946,657,89,187,276,,766,,,,,,23.1,43.1,0.0,66.2,seibeea01
1962,Frank Ahearn,Builder,,,,,,,,,,,,,,,,,,
1962,Punch Broadbent,Player,1919,1929,303,120,52,172,,576,,,,,,15.5,9.7,0.0,25.2,broadpu01
1962,Walter Brown,Builder,,,,,,,,,,,,,,,,,,
1962,Harry Cameron,Player,1918,1923,129,88,54,142,,180,,,,,,15.0,13.8,0.0,28.7,camerha01
1962,Rusty Crawford,Player,1918,1919,38,10,8,18,,115,,,,,,-0.7,0.9,0.0,0.1,crawfru01
1962,Jack Darragh,Player,1918,1924,121,68,49,117,,107,0,0,0,,0.00,6.5,4.6,0.0,11.1,darraja01
1962,Jim Gardner,Player,,,,,,,,,,,,,,,,,,gardnji01
1962,Billy Gilmour,Player,,,,,,,,,,,,,,,,,,gilmobi01
1962,Shorty Green,Player,1924,1927,103,34,22,56,,167,,,,,,6.5,2.4,0.0,8.9,greensh01
1962,Riley Hern,Player,,,,,,,,,,,,,,,,,,hernri01
1962,Tom Hooper,Player,,,,,,,,,,,,,,,,,,hoopeto01
1962,Fred Hume,Builder,,,,,,,,,,,,,,,,,,
1962,Bowse Hutton,Player,,,,,,,,,,,,,,,,,,huttobo01
1962,Harry Hyland,Player,1918,1918,17,14,2,16,,65,,,,,,1.2,0.4,0.0,1.6,hylanha01
1962,Jack Laviolette,Player,1918,1918,18,2,1,3,,6,,,,,,-1.1,0.7,0.0,-0.4,lavioja01
1962,Steamer Maxwell,Player,,,,,,,,,,,,,,,,,,maxwest01
1962,Billy McGimsie,Player,,,,,,,,,,,,,,,,,,mcgimbi01
1962,Reg Noble,Player,1918,1933,510,167,106,273,,925,,,,,,20.4,14.8,0.0,35.2,noblere01
1962,James Norris,Builder,,,,,,,,,,,,,,,,,,
1962,Ambrose O'Brien,Builder,,,,,,,,,,,,,,,,,,
1962,Didier Pitre,Player,1918,1923,127,64,35,99,,87,,,,,,4.7,3.9,0.0,8.6,pitredi01
1962,Mike Rodden,Referee/Linesman,,,,,,,,,,,,,,,,,,
1962,Jack Ruttan,Player,,,,,,,,,,,,,,,,,,ruttaja01
1962,Sweeney Schriner,Player,1935,1946,484,201,206,407,,148,,,,,,40.1,7.5,0.0,47.6,schrisw01
1962,Joe Simpson,Player,1926,1931,228,21,19,40,,172,,,,,,3.2,17.5,0.0,20.7,simpsjo01
1962,Alf Smith,Player,,,,,,,,,,,,,,,,,,smithal01
1962,Frank Smith,Builder,,,,,,,,,,,,,,,,,,
1962,Barney Stanley,Player,1928,1928,1,0,0,0,,0,,,,,,-0.1,0.0,0.0,-0.1,stanlba01
1962,Marty Walsh,Player,,,,,,,,,,,,,,,,,,walshma01
1962,Harry Watson,Player,,,,,,,,,,,,,,,,,,watsoha01
1962,Harry Westwick,Player,,,,,,,,,,,,,,,,,,westwha01
1962,Fred Whitcroft,Player,,,,,,,,,,,,,,,,,,whitcfr01
1962,Phat Wilson,Player,,,,,,,,,,,,,,,,,,wilsoph01
1961,Syl Apps,Player,1937,1948,423,201,231,432,,56,,,,,,44.5,8.0,0.0,52.5,appssy01
1961,George Brown,Builder,,,,,,,,,,,,,,,,,,
1961,Charlie Conacher,Player,1930,1941,461,224,172,396,,523,0,0,0,,0.00,56.4,10.0,0.1,66.5,conacch01
1961,Hap Day,Player,1925,1938,586,86,121,207,,597,,,,,,12.6,13.6,0.0,26.2,dayha01
1961,Chaucer Elliott,Referee/Linesman,,,,,,,,,,,,,,,,,,
1961,George Hainsworth,Player,1927,1937,465,0,0,0,,4,246,144,74,,1.93,0.0,0.0,94.2,94.2,hainsge01
1961,Joe Hall,Player,1918,1919,37,15,9,24,,230,,,,,,1.8,4.8,0.0,6.6,halljo01
1961,Mickey Ion,Referee/Linesman,,,,,,,,,,,,,,,,,,
1961,Percy LeSueur,Player,,,,,,,,,,,,,,,,,,lesuepe01
1961,Paul Loicq,Builder,,,,,,,,,,,,,,,,,,
1961,Frank Rankin,Player,,,,,,,,,,,,,,,,,,rankifr01
1961,Maurice Richard,Player,1943,1960,978,544,422,966,18,1287,,,,,,105.3,20.0,0.0,125.3,richama01
1961,Milt Schmidt,Player,1937,1955,776,229,346,575,,466,,,,,,50.0,13.4,0.0,63.3,schmimi01
1961,Oliver Seibert,Player,,,,,,,,,,,,,,,,,,seibeol01
1961,Cooper Smeaton,Referee/Linesman,,,,,,,,,,,,,,,,,,
1961,Bruce Stuart,Player,,,,,,,,,,,,,,,,,,stuarbr01
1961,Fred Waghorne,Builder,,,,,,,,,,,,,,,,,,
1960,Charles Adams,Builder,,,,,,,,,,,,,,,,,,
1960,Georges Boucher,Player,1918,1932,450,118,87,205,,845,,,,,,24.4,53.0,0.0,77.4,bouchge01
1960,John Kilpatrick,Builder,,,,,,,,,,,,,,,,,,
1960,Sylvio Mantha,Player,1924,1937,542,63,77,140,,671,,,,,,18.6,48.9,0.0,67.5,manthsy01
1960,Frank Selke,Builder,,,,,,,,,,,,,,,,,,
1960,Jack Walker,Player,1927,1928,84,5,8,13,,16,,,,,,-2.1,1.7,0.0,-0.4,walkeja01
1959,Jack Adams,Player,1918,1927,173,81,44,125,,384,,,,,,17.5,3.4,0.0,20.9,adamsja01
1959,Cy Denneny,Player,1918,1929,329,247,89,336,,296,,,,,,46.8,11.5,0.0,58.3,dennecy01
1959,Tiny Thompson,Player,1929,1940,553,0,1,1,,0,284,194,75,,2.07,0.0,0.0,107.1,107.1,thompti01
1958,Frank Boucher,Player,1922,1944,557,160,264,424,,110,,,,,,53.0,11.1,0.0,64.1,bouchfr01
1958,King Clancy,Player,1922,1937,592,137,150,287,,914,0,0,0,,20.00,45.2,59.0,-0.1,104.1,clancki01
1958,Sprague Cleghorn,Player,1919,1928,262,85,63,148,,549,0,0,0,,0.00,16.6,31.9,0.0,48.5,cleghsp01
1958,Alec Connell,Player,1925,1937,418,0,0,0,,4,193,156,68,,1.92,0.0,0.0,85.5,85.5,conneal01
1958,George Dudley,Builder,,,,,,,,,,,,,,,,,,
1958,Red Dutton,Player,1927,1936,449,28,68,96,,884,,,,,,7.6,34.2,0.0,41.8,duttore01
1958,Frank Foyston,Player,1927,1928,64,17,7,24,,30,,,,,,3.9,1.2,0.0,5.1,foystfr01
1958,Frank Fredrickson,Player,1927,1931,161,39,34,73,,211,,,,,,12.0,3.2,0.0,15.2,fredrfr01
1958,Herb Gardiner,Player,1927,1929,100,10,10,20,,48,,,,,,2.5,13.0,0.0,15.5,gardihe01
1958,George Hay,Player,1927,1933,240,74,62,136,,87,,,,,,23.1,4.9,0.0,28.0,hayge01
1958,Dick Irvin,Player,1927,1929,95,29,23,52,,84,,,,,,10.4,0.8,0.0,11.2,irvindi01
1958,Ching Johnson,Player,1927,1938,436,38,48,86,,836,,,,,,8.6,34.3,0.0,42.9,johnsch01
1958,Duke Keats,Player,1927,1929,82,29,19,48,,114,,,,,,10.2,0.8,0.0,11.0,keatsdu01
1958,Hugh Lehman,Player,1927,1928,48,0,0,0,,0,20,24,4,,2.68,0.0,0.0,2.3,2.3,lehmahu01
1958,George McNamara,Player,,,,,,,,,,,,,,,,,,mcnamge01
1958,Paddy Moran,Player,,,,,,,,,,,,,,,,,,moranpa01
1958,James Norris Sr.,Builder,,,,,,,,,,,,,,,,,,
1958,Allan Pickard,Builder,,,,,,,,,,,,,,,,,,
1958,Donat Raymond,Builder,,,,,,,,,,,,,,,,,,
1958,Conn Smythe,Builder,,,,,,,,,,,,,,,,,,
1958,Lloyd Turner,Builder,,,,,,,,,,,,,,,,,,
1952,Dickie Boon,Player,,,,,,,,,,,,,,,,,,boondi01
1952,Bill Cook,Player,1927,1937,475,228,138,366,,386,,,,,,63.1,9.4,0.0,72.5,cookbi01
1952,Moose Goheen,Player,,,,,,,,,,,,,,,,,,goheemo01
1952,Moose Johnson,Player,,,,,,,,,,,,,,,,,,johnsmo01
1952,Mickey MacKay,Player,1927,1930,147,44,19,63,,79,,,,,,12.2,2.4,0.0,14.6,mackami01
1952,Nels Stewart,Player,1926,1940,650,324,191,515,,950,,,,,,89.2,12.1,0.0,101.3,stewane01
1950,Scotty Davidson,Player,,,,,,,,,,,,,,,,,,davidsc01
1950,Graham Drinkwater,Player,,,,,,,,,,,,,,,,,,drinkgr01
1950,Mike Grant,Player,,,,,,,,,,,,,,,,,,grantmi01
1950,Si Griffis,Player,,,,,,,,,,,,,,,,,,griffsi01
1950,Newsy Lalonde,Player,1918,1927,99,125,42,167,,185,,,,,,19.4,2.8,0.0,22.2,lalonne01
1950,Joe Malone,Player,1918,1924,126,143,33,176,,57,,,,,,18.6,2.9,0.0,21.5,malonjo01
1950,Frank Patrick,Builder,,,,,,,,,,,,,,,,,,
1950,George Richardson,Player,,,,,,,,,,,,,,,,,,richage01
1950,Harry Trihey,Player,,,,,,,,,,,,,,,,,,triheha01
1949,Dan Bain,Player,,,,,,,,,,,,,,,,,,bainda01
1949,Art Ross,Player,1918,1918,3,1,0,1,,12,,,,,,0.0,0.3,0.0,0.3,rossar01
1947,Russell Bowie,Player,,,,,,,,,,,,,,,,,,bowieru01
1947,Frank Calder,Builder,,,,,,,,,,,,,,,,,,
1947,Dit Clapper,Player,1928,1947,835,229,248,477,,452,,,,,,54.6,39.6,0.0,94.2,clappdi01
1947,William Hewitt,Builder,,,,,,,,,,,,,,,,,,
1947,Aurel Joliat,Player,1923,1938,655,269,194,463,,766,,,,,,73.0,14.6,0.0,87.6,joliaau01
1947,Francis Nelson,Builder,,,,,,,,,,,,,,,,,,
1947,Frank Nighbor,Player,1918,1930,349,139,100,239,,266,,,,,,20.3,11.5,0.0,31.8,nighbfr01
1947,William Northey,Builder,,,,,,,,,,,,,,,,,,
1947,Lester Patrick,Player,1927,1927,1,0,0,0,,2,,,,,,0.0,0.1,0.0,0.1,patrile01
1947,John Robertson,Builder,,,,,,,,,,,,,,,,,,
1947,Claude Robinson,Builder,,,,,,,,,,,,,,,,,,
1947,Eddie Shore,Player,1927,1940,551,105,179,284,,1099,,,,,,47.0,51.5,0.0,98.4,shoreed01
1947,James Sutherland,Builder,,,,,,,,,,,,,,,,,,
1947,Cyclone Taylor,Player,,,,,,,,,,,,,,,,,,taylocy01
1945,Montagu Allan,Builder,,,,,,,,,,,,,,,,,,
1945,Hobey Baker,Player,,,,,,,,,,,,,,,,,,bakerho01
1945,Charlie Gardiner,Player,1928,1934,316,0,0,0,,2,112,151,52,,2.02,0.0,0.0,55.6,55.6,gardich01
1945,Eddie Gerard,Player,1918,1923,128,50,51,101,,126,,,,,,7.2,19.1,0.0,26.4,gerared01
1945,Frank McGee,Player,,,,,,,,,,,,,,,,,,mcgeefr01
1945,Howie Morenz,Player,1924,1937,550,271,205,476,,560,,,,,,87.4,13.4,0.0,100.8,morenho01
1945,Tommy Phillips,Player,,,,,,,,,,,,,,,,,,phillto01
1945,Harvey Pulford,Player,,,,,,,,,,,,,,,,,,pulfoha01
1945,Frederick Stanley,Builder,,,,,,,,,,,,,,,,,,
1945,Hod Stuart,Player,,,,,,,,,,,,,,,,,,stuarho01
1945,Georges Vezina,Player,1918,1926,190,0,1,1,,2,103,81,5,,3.28,0.0,0.0,39.4,39.4,vezinge01
